Date,Close,20_MA,50_MA,RSI,Signal,Position,Daily_PnL,Cumulative_PnL
2024-12-24,1222.75,,,,0,0,,0.0
2024-12-26,1216.550048828125,,,,0,0,-0.0,0.0
2024-12-27,1221.050048828125,,,,0,0,0.0,0.0
2024-12-30,1210.699951171875,,,,0,0,-0.0,0.0
2024-12-31,1215.449951171875,,,,0,0,0.0,0.0
2025-01-01,1221.25,,,,0,0,0.0,0.0
2025-01-02,1241.800048828125,,,,0,0,0.0,0.0
2025-01-03,1251.1500244140625,,,,0,0,0.0,0.0
2025-01-06,1218.0,,,,0,0,-0.0,0.0
2025-01-07,1240.8499755859375,,,,0,0,0.0,0.0
2025-01-08,1265.5,,,,0,0,0.0,0.0
2025-01-09,1254.75,,,,0,0,-0.0,0.0
2025-01-10,1241.9000244140625,,,,0,0,-0.0,0.0
2025-01-13,1239.8499755859375,,,,0,0,-0.0,0.0
2025-01-14,1238.75,,,,0,0,-0.0,0.0
2025-01-15,1252.199951171875,,,,0,0,0.0,0.0
2025-01-16,1266.449951171875,,,,0,0,0.0,0.0
2025-01-17,1302.3499755859375,,,,0,0,0.0,0.0
2025-01-20,1305.449951171875,,,,0,0,0.0,0.0
2025-01-21,1273.699951171875,1245.0224914550781,,,0,0,-0.0,0.0
2025-01-22,1277.0999755859375,1247.739990234375,,,0,0,0.0,0.0
2025-01-23,1263.6500244140625,1250.094989013672,,,0,0,-0.0,0.0
2025-01-24,1246.300048828125,1251.357489013672,,,0,0,-0.0,0.0
2025-01-27,1229.3499755859375,1252.289990234375,,,0,0,-0.0,0.0
2025-01-28,1234.4000244140625,1253.2374938964845,,,0,0,0.0,0.0
2025-01-29,1235.5,1253.9499938964843,,,0,0,0.0,0.0
2025-01-30,1253.050048828125,1254.5124938964843,,,0,0,0.0,0.0
2025-01-31,1265.0999755859375,1255.2099914550781,,,0,0,0.0,0.0
2025-02-01,1264.5999755859375,1257.539990234375,,,0,0,-0.0,0.0
2025-02-03,1245.9000244140625,1257.7924926757812,,,0,0,-0.0,0.0
2025-02-04,1285.199951171875,1258.777490234375,,,0,0,0.0,0.0
2025-02-05,1278.199951171875,1259.9499877929688,,,0,0,-0.0,0.0
2025-02-06,1281.550048828125,1261.9324890136718,,,0,0,0.0,0.0
2025-02-07,1266.699951171875,1263.2749877929687,,,0,0,-0.0,0.0
2025-02-10,1253.6500244140625,1264.0199890136719,,,0,0,-0.0,0.0
2025-02-11,1234.8499755859375,1263.152490234375,,,0,0,-0.0,0.0
2025-02-12,1216.550048828125,1260.6574951171874,,,0,0,-0.0,0.0
2025-02-13,1216.0999755859375,1256.3449951171874,,,0,0,-0.0,0.0
2025-02-14,1217.25,1251.9349975585938,,,0,0,0.0,0.0
2025-02-17,1224.9000244140625,1249.4950012207032,,,0,0,0.0,0.0
2025-02-18,1225.4000244140625,1246.9100036621094,,,0,0,0.0,0.0
2025-02-19,1227.449951171875,1245.1,,,0,0,0.0,0.0
2025-02-20,1233.0,1244.4349975585938,,,0,0,0.0,0.0
2025-02-21,1228.1500244140625,1244.375,,,0,0,-0.0,0.0
2025-02-24,1214.550048828125,1243.382501220703,,,0,0,-0.0,0.0
